,Start Time,End Time,Distance (mi),Duration (min),Fuel Cost (USD),Average MPG,Fuel Volume (gal),Hard Accelerations,Hard Brakes,Duration Over 70 mph (secs),Duration Over 75 mph (secs),Duration Over 80 mph (secs),Tags
75,2015-06-15 08:51:00,2015-06-15 09:05:00,5.71,14.66,0.5,31.28,0.18,0,1,0,0,0,Other
76,2015-06-15 07:32:00,2015-06-15 07:40:00,4.33,7.62,0.31,38.1,0.11,0,0,0,0,0,Other
77,2015-06-14 22:04:00,2015-06-14 22:25:00,15.63,21.66,1.0,42.34,0.37,0,0,0,0,0,commute
78,2015-06-14 10:59:00,2015-06-14 11:22:00,15.51,22.94,1.05,40.22,0.4,0,0,40,0,0,commute
79,2015-06-13 22:38:00,2015-06-13 23:02:00,14.64,23.6,1.0,40.22,0.37,0,0,160,0,0,Other
80,2015-06-13 20:56:00,2015-06-13 21:08:00,4.67,12.11,0.34,36.22,0.13,0,0,0,0,0,Other
81,2015-06-13 19:42:00,2015-06-13 19:55:00,6.83,12.44,0.46,39.99,0.16,1,1,0,0,0,Other
82,2015-06-13 17:47:00,2015-06-13 18:10:00,12.15,23.38,0.92,36.46,0.34,1,0,119,0,0,Other
83,2015-06-13 11:52:00,2015-06-13 11:58:00,1.98,6.2,0.15,36.22,0.05,0,0,0,0,0,Other
84,2015-06-13 11:24:00,2015-06-13 11:31:00,2.05,7.49,0.18,31.28,0.05,0,0,0,0,0,Other
85,2015-06-12 15:46:00,2015-06-12 15:54:00,3.19,8.48,0.25,35.99,0.08,0,0,0,0,0,Other
86,2015-06-12 13:46:00,2015-06-12 13:54:00,2.97,7.61,0.25,33.17,0.08,0,0,0,0,0,Other
87,2015-06-11 16:54:00,2015-06-11 16:58:00,1.06,4.43,0.1,29.4,0.03,0,0,0,0,0,Other
88,2015-06-11 16:27:00,2015-06-11 16:33:00,2.23,6.42,0.2,30.34,0.08,0,0,0,0,0,Other
89,2015-06-11 13:10:00,2015-06-11 13:19:00,3.0,8.25,0.27,31.05,0.11,0,0,0,0,0,Other
90,2015-06-11 11:09:00,2015-06-11 11:25:00,6.75,15.15,0.51,35.99,0.18,0,0,0,0,0,Other
91,2015-06-11 11:05:00,2015-06-11 11:07:00,0.24,2.38,0.04,18.11,0.03,0,0,0,0,0,Other
