"Vehicle","Start Location Name","Start Time","End Location Name","End Time","Distance (mi)","Duration (min)","Fuel Cost (USD)","Average MPG","Fuel Volume (gal)","Hard Accelerations","Hard Brakes","Duration Over 70 mph (secs)","Duration Over 75 mph (secs)","Duration Over 80 mph (secs)","Start Location Lat","Start Location Lon","Start Location Accuracy (meters)","End Location Lat","End Location Lon","End Location Accuracy (meters)","Path","Tags"
"2003 Honda Civic","372-380 East Mesquite Street, Gilbert, AZ 85296, USA","2015-02-05 10:31 AM","Phoenix Sky Harbor International Airport, 4-7 East Sky Harbor Boulevard, Phoenix, AZ 85034, USA","2015-02-05 10:58 AM","19.19","27.27","0.91","40.69","0.48","0","0","305","129","0","33.34442","-111.78223","10","33.43601","-111.99677","65","qqojE~mgiTW`AM`ACj@@fHA\e@fCtBl@VDj@@MbDF|CPzBPpAN`BAz@?lBqBAkHEyECwGGgL?uOJuD@QIiB@aEBkB?qFDOHwEBgLDyD@mCDwD@S?UMO?q@?oD@yFFWNuA@k@@_HFqDDSQ}ONoHDgB?uAIu@KwA_@_Bs@SEMAu@e@kC{AEUQKq@QgB_@o@IeAE_F?{I?{N@yMG_FC?pATfG^hKJfCBrCBpBNLDpQDrSJld@@`q@Hlt@Ahi@D``AT`t@Zlw@@nf@@`bADxj@Jbw@A`DB``@CjLAfk@BhTPdkBBp_@AzQLvl@Anq@?bLCjHOlDc@jEOdA]jBm@`CmCpK}@nEYxBM~@c@dFkAjNW`Bg@bBm@jAy@fAu@n@w@f@y@\aAXa@Fy@Fy@@YHoIGM?s^YsLIyC@sBFaDXy@JoB`@}Cr@_DjA_CfAuCdB}BbBIF]DYRm@f@}AtAoAvAwAfBgAdBSZ}DlHyBvDaCtDuCjEuB|CoAlAq@`@{@\uAZ_AFcBDQDMFuGIqF?sZO_OIwMOqEGmCBiRr@gIb@{In@gCTqCZ}Db@SKc@B]?s@EgAOi@Ma@Qe@]_@c@Ye@Qe@Oq@Ee@A{@Bo@Hk@Pm@Tg@Ze@l@i@ZQZMd@I^Cx@Bx@T^R`@XX^Zj@Tt@Lt@h@|GJX`@~GBrAGfBWjD@fBBr@PzA`@bB`G~YTlBDhB?hE?dJCpCIHE^Gf@Mj@Ch@C`BD~F?nHAvQB~BC~K@TKZMPUVSHQ@[?YIUMMQSg@AUByB?iE@eBPkB?_B?}M",""
"2003 Honda Civic","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-02-04 8:35 PM","372-380 East Mesquite Street, Gilbert, AZ 85296, USA","2015-02-04 8:58 PM","15.62","23.20","0.76","38.58","0.40","0","0","3","0","0","33.29675","-111.59417","10","33.34442","-111.78223","10","sgfjE``chTnE?JHNTHr@vO?xDABgFCaLKWSOe@EyGEmKBlKCvFB~@BRHNPFb@Khn@G`ZIzY@ZQhv@[zdBA|AaVLmUNqUL_[Rwf@XwMEmJFQl@gBxMaAnEWdAsBxEmClEuErF{B`CyBnByDrC{G~DkAlA_Av@mBrAqBjAqE~BmCnAgC`AgCz@aBl@eAf@y@p@m@p@u@jAq@vA_@pAW~AO~AAdBDnBNtANl@~@~ChDjJjCbI|A~G|@dFrAlJdArJl@vDDxAFlD?ls@?lu@?xdA?r|@?fe@HxGXdQCLCb@@nA@`IGzHGzGCdEKAMAeDDaHLaIFsFHaB@qA?GEEAoCEkBC?PJlF?pNBtXAnCMf@AlADlb@F|O?xNDh}@@jMAjF@jKFvWBzZFph@Jb{@DpSHbHHrBDzO?dA_B?mGEoBKeAGg@CuBAcDAGBIHcCCeBAuCAaEEoDC?mB@{@A]_@uCU{D?sCHmBk@AWEuBm@d@gC@]AgHBk@LaAd@cB",""
"2003 Honda Civic","323 South Ironwood Street, Gilbert, AZ 85296, USA","2015-02-04 9:29 AM","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-02-04 9:55 AM","15.59","25.26","0.89","33.17","0.48","1","0","105","1","0","33.34408","-111.78147","5","33.29675","-111.59417","10","epojEzjgiTbChAa@pA[vAGv@?bA@fE?rCInCCz@?vAJzCRpBRrADbAA|CrHFpFDjEBHLHBlD@`DFx@FjBHfKFCoQQiGCqHAaPKof@AoZK}q@AyLAuSEoUG_tAEqS@gICuDCwQCaEGk@?cC?eDAyO?uO?aBKiFhBBlCBD?JGhB?~GIzIGFBdHHjBE`C@dB@z@D@a@EkAQmCu@oK]kGWcJE_@GO]yQEaFAeMAgY@gu@?edA?eh@?icACsEOwFQoDLiNa@_Iy@uHaAwGeB_Mi@aEKcBAk@@mAJ{BNqBVyAf@uB~@}BbAkBhAyAfCwB~CyBjEkClMiIpDmClBaB~A_BvA}AzIgLvLsOl@}@l@mAn@iBf@{BLsBjDBpDExBOpQIpYS`b@W~q@c@vCCCW@{FZuaBPqt@A[Jw[ByLLgm@CaLKWSOe@Ee@Ad@@d@DRNJVB`LCfFyD@wO?Is@OUKIoE?",""
"2003 Honda Civic","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-02-03 9:58 PM","323 South Ironwood Street, Gilbert, AZ 85296, USA","2015-02-03 10:20 PM","15.60","22.09","0.78","37.40","0.42","0","0","0","0","0","33.29675","-111.59417","5","33.34408","-111.78147","5","sgfjE``chTnE?JHNTHr@vO?xDAAvKGfYCxLKv[@ZQpt@[taBAzFm~@f@gZRqh@ZuIAsFAmJFQl@gApIo@jE_@`Be@lA_DxFeCrEuDnF{B`CyBnByDrC{G~DeBfBsCpBaFpCoFhCgC`AaCv@kAb@aA`@_An@gAfAu@jAq@vA_@pAW~AO~AAdBDnBNtA\zApBzFhB`F~B~Gt@xCr@hD|@dFrAlJdArJn@xDHrD@fC?vh@@dy@?pBAh}@?zcA?ja@DtJ\bTE\Ah@B|DAtHQdTOAiB@cJLGBkFBkFHmGBIGs@AkEGJzF?|G@rZ?dD?bCIXEV?n@@rOBbKDlS@dGAbEBlK@x[Dlj@C`MFfVDr]F|f@B~VFfd@BhNBfKB`BJlCDzM@`C?RQ?_FCwA?aCImBMgHGUN{IEuKK@wDY}BSqBGwACcA?wAJ_C@sC?mDAiDFw@Jm@p@{BcCiA",""
"2003 Honda Civic","372 East Mesquite Street, Gilbert, AZ 85296, USA","2015-02-03 11:03 AM","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-02-03 11:29 AM","15.51","25.56","0.84","34.11","0.45","1","0","76","0","0","33.34461","-111.78214","5","33.29675","-111.59417","5","qqojE`ngiTW~@M`ACj@@fHA\e@fCtBl@VDj@@MbDF|CPzBPpAN`BAz@?lBnDB`EDtC@dB@bCBFHBDD?bDBrDHnCNhCBpFBZ??a@CcNAoBMwDEkHEoc@EqRAyNEa`@Iwb@Cye@EkWCuy@CoT?}ICmOCcRCgGImA?qKAmZ?wDKmFxFFFAFEpA?`BAzDG|EEvCADBD@`HF`ACpB?nB?jBF@iAS{Cy@_LWkEW_IG_CEOEII}DQaKEiCCsIAk`@@yhB?a[?}s@?{b@AgMGoEQuEIuAJcIAcF]aGy@uH}BaPgAeISgBEyABsBXgEd@kCj@gBhAiCnAoBhAkA~AqA~CyBjEkCpGeEzDcCxAgAvAeAlBaBvD}DfIsLfJaMfDwFhAgDr@kCjDBpDExBOpQIrROp\SpUOzg@[vCCCW@{FZuaBPqt@A[Jw[Jag@D_SCaLKWSOKCJBRNJVB`LCfFyD@wO?Is@OUKIoE?",""
"2003 Honda Civic","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-02-02 9:53 PM","372 East Mesquite Street, Gilbert, AZ 85296, USA","2015-02-02 10:17 PM","15.59","23.15","0.79","36.46","0.42","0","0","0","0","0","33.29675","-111.59417","5","33.34461","-111.78214","10","sgfjE``chTnE?JHNTHr@vO?xDABgFCaLKWSOe@EqAApA@d@DRNJVB`LMfm@Opi@@ZQpt@[taBAzFmg@X}j@\}OH}]TuIAwRGGbAeAbIqB~IwHhP}CtD{B`CcCvBoDjC{G~DeBfBsCpBaFpCoFhCgC`AaCv@kAb@aA`@_An@gAfAu@jAq@vA_@pAW~AO~AAdBDnBNtA\zApBzFhB`F~B~Gt@xCr@hD|@dFrAlJdArJn@xDHrD@fC?raA?nz@?j`C?pLDtJ\bTE\@fFAtHM|LCfFOAmLLg@D{IF_HHiB?IG_GIJzF?`B?tO@~T?bCIXEV?bBHxh@B|L@rLBxeABjECnHB~GBrM@zLBvWHth@BpWH|h@BvOJ|DFfBBfP?RQ?_FCkCA_CQkBEqFEMBMJkECqFEsHG@}CEcASsASqBK{C?wAB{@FcA]?YCWEiBk@\eBHq@AuHFmAT_AJ_@",""
"2003 Honda Civic","380 East Mesquite Street, Gilbert, AZ 85296, USA","2015-02-02 10:55 AM","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-02-02 11:19 AM","15.50","23.65","0.78","36.69","0.42","0","0","0","0","0","33.34454","-111.78196","10","33.29675","-111.59417","5","qqojE`ngiTW~@M`ACj@@fHA\e@fCtBl@VDj@@MbDF|CPzBPpAN`BAz@?lBnDB`EDtC@dB@bCBFHBDD?bDBrDHnCNhCBpFBZ??a@CcNAoBMwDEkHEoc@EqRAyNEa`@Iwb@Cye@EkWCuy@CoT?}ICmOCcRCgGImA?qKAmZ?wDKmFxFFFAFEpA?`BAzDG|EEvCADBD@`HF`ACpB?nB?jBF@iAS{Cy@_LWkEW_IG_CEOEII}DQaKEiCCsIAk`@@yhB?a[?}s@?{b@AgMGoEQuEIuAJcIAcF]aGy@uH}BaPgAeISgBEyABsBXgEd@kCj@gBhAiCnAoBhAkA~AqA~CyBjEkCpGeEzDcCxAgAvAeAlBaBvD}DfIsLfJaMfDwFhAgDr@kCjDBpDExBOpQIrROp\SpUOzg@[vCCCW@{FZuaBPqt@A[Jw[Jag@D_SCaLKWSOKCJBRNJVB`LCfFyD@wO?Is@OUKIoE?",""
"2003 Honda Civic","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-02-01 10:06 PM","380 East Mesquite Street, Gilbert, AZ 85296, USA","2015-02-01 10:30 PM","15.62","23.94","0.82","35.05","0.45","0","0","0","0","0","33.29675","-111.59417","65","33.34454","-111.78196","10","sgfjE``chTnE?JHNTHr@vO?xDABgFCaLKWSOe@EyGEmKBlKCvFB~@BRHNPFb@Khn@G`ZIzY@ZQhv@[zdBA|AaVLmUNqUL_[Rwf@XwMEmJFQl@gBxMaAnEWdAsBxEmClEuErF{B`CyBnByDrC{G~DkAlA_Av@mBrAqBjAqE~BmCnAgC`AgCz@aBl@eAf@y@p@m@p@u@jAq@vA_@pAW~AO~AAdBDnBNtANl@~@~ChDjJjCbI|A~G|@dFrAlJdArJl@vDDxAFlD?ls@?lu@?xdA?r|@?fe@HxGXdQCLCb@@nA@`IGzHGzGCdEKAMAeDDaHLaIFsFHaB@qA?GEEAoCEkBC?PJlF?pNBtXAnCMf@AlADlb@F|O?xNDh}@@jMAjF@jKFvWBzZFph@Jb{@DpSHbHHrBDzO?dA_B?mGEoBKeAGg@CuBAcDAGBIHcCCeBAuCAaEEoDC?mB@{@A]_@uCU{D?sCHmBk@AWEuBm@d@gC@]AgHBk@LaAd@cB",""
"2003 Honda Civic","Unknown","2015-02-01 11:28 AM","Unknown","2015-02-01 11:29 AM","0.03","0.25","0.00","20.23","0.00","0","0","0","0","0","33.29675","-111.59417","5","33.29675","-111.59417","65","sgfjE``chT",""
"2003 Honda Civic","380 East Mesquite Street, Gilbert, AZ 85296, USA","2015-02-01 11:05 AM","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-02-01 11:28 AM","15.50","22.96","0.86","33.64","0.48","0","0","111","0","0","33.34454","-111.78196","10","33.29675","-111.59417","5","cqojE|lgiTe@bBM`ACj@@fHA\e@fCtBl@VDj@@MbDF|CPzBPpAN`BAz@?lBnDB`EDtC@dB@bCBFHBDD?bDBrDHnCNhCBpFBZ??a@CcNAoBMwDEkHEoc@EqRAyNEa`@Iwb@Cye@EkWCuy@CoT?}ICmOCcRCgGImA?qKAmZ?wDKmFxFFFAFEpA?`BAzDG|EEvCADBD@`HF`ACpB?nB?jBF@iAS{Cy@_LWkEW_IG_CEOEII}DQaKEiCCsIAk`@@yhB?a[?}s@?{b@AgMGoEQuEIuAJcIAcF]aGy@uH}BaPgAeISgBEyABsBXgEd@kCj@gBhAiCnAoBhAkA~AqA~CyBjEkCpGeEzDcCxAgAvAeAlBaBvD}DfIsLfJaMfDwFhAgDr@kCjDBpDExBOpQIrROp\SpUOzg@[vCCCW@{FZuaBPqt@A[Jw[Jag@D_SCaLKWSOe@EyGEeJBdJCxGDd@DRNJVB`LCfFyD@wO?Is@OUKIoE?",""
"2003 Honda Civic","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-01-28 8:39 PM","380 East Mesquite Street, Gilbert, AZ 85296, USA","2015-01-28 9:02 PM","15.62","23.69","0.73","39.05","0.40","0","0","0","0","0","33.29675","-111.59417","5","33.34454","-111.78196","10","sgfjE``chTnE?JHNTHr@vO?xDABgFCaLKWSOe@EyGEmKBlKCvFB~@BRHNPFb@Khn@G`ZIzY@ZQhv@[zdBA|AaVLmUNqUL_[Rwf@XwMEmJFQl@gBxMaAnEWdAsBxEmClEuErF{B`CyBnByDrC{G~DkAlA_Av@mBrAqBjAqE~BmCnAgC`AgCz@aBl@eAf@y@p@m@p@u@jAq@vA_@pAW~AO~AAdBDnBNtANl@~@~ChDjJjCbI|A~G|@dFrAlJdArJl@vDDxAFlD?ls@?lu@?xdA?r|@?fe@HxGXdQCLCb@@nA@`IGzHGzGCdEKAMAeDDaHLaIFsFHaB@qA?GEEAoCEkBC?PJlF?pNBtXAnCMf@AlADlb@F|O?xNDh}@@jMAjF@jKFvWBzZFph@Jb{@DpSHbHHrBDzO?dA_B?mGEoBKeAGg@CuBAcDAGBIHcCCeBAuCAaEEoDC?mB@{@A]_@uCU{D?sCHmBk@AWEuBm@d@gC@]AgHBk@LaAd@cB",""
"2003 Honda Civic","380 East Mesquite Street, Gilbert, AZ 85296, USA","2015-01-28 9:29 AM","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-01-28 9:53 AM","15.67","23.74","0.79","35.75","0.45","1","0","9","0","0","33.34454","-111.78196","10","33.29675","-111.59417","5","cqojE|lgiTe@bBM`ACj@@fHA\e@fCtBl@VDj@@MbDF|CPzBPpAN`BAz@?lBnDB`EDtC@dB@bCBFHBDD?bDBrDHnCNhCBpFBZ??a@CcNAoBMwDEkHEoc@EqRAyNEa`@Iwb@Cye@EkWCuy@CoT?}ICmOCcRCgGImA?qKAmZ?wDKmFxFFFAFEpA?`BAzDG|EEvCADBD@`HF`ACpB?nB?jBF@iAS{Cy@_LWkEW_IG_CEOEII}DQaKEiCCsIAk`@@yhB?a[?}s@?{b@AgMGoEQuEIuAJcIAcF]aGy@uH}BaPgAeISgBEyABsBXgEd@kCj@gBhAiCnAoBhAkA~AqA~CyBjEkCpGeEzDcCxAgAvAeAlBaBvD}D`UsY~BeDl@mAn@iBf@{BLsBjDBpDExBO`HE~JE~RObf@Yr_@WbVOAuBl@e|CA[H{YBuDJ_p@BuRGc@OQSI_ACaKAuTF~XIxGDd@DRNJVB`LCfFyD@wO?Is@OUKIoE?",""
"2003 Honda Civic","791-799 South Val Vista Drive, Gilbert, AZ 85296, USA","2015-01-27 10:27 PM","380 East Mesquite Street, Gilbert, AZ 85296, USA","2015-01-27 10:34 PM","3.11","6.78","0.17","33.64","0.11","0","0","0","0","0","33.33618","-111.75557","5","33.34454","-111.78196","10","c~mjEjgbiTiFAAb@bB?vE?@pEB~JBpUFjl@Dn[FvVFti@HbHHrBDzO?dA_B?mGEoBKeAGg@CuBAcDAGBIHcCCeBAuCAaEEoDC?mB@{@A]_@uCU{D?sCHmBk@AWEuBm@d@gC@]AgHBk@LaAV_A",""
"2003 Honda Civic","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-01-27 10:07 PM","791-799 South Val Vista Drive, Gilbert, AZ 85296, USA","2015-01-27 10:24 PM","12.57","17.01","0.61","37.40","0.34","0","0","0","0","0","33.29675","-111.59417","5","33.33618","-111.75557","5","sgfjE``chTnE?JHNTHr@vO?xDABgFCaLKWSOe@EyGEqRFtMErK@~@BRHNPFb@Khn@G`ZIzY@ZQhv@[zdBA|AaVLmUNqUL_[Rwf@XwMEmJFQl@eBtMa@`Ca@pAm@jAkGdLuDnF{B`CcCvBoDjCmC~AmC~AkAlA_Av@mBrAqBjAqE~BmCnAgC`AgCz@aBl@eAf@y@p@m@p@u@jAq@vA_@pAW~AO~AAdBDnBNtANl@~@~ChDjJjCbI|A~G|@dFrAlJdArJl@vDDxAFlD?ls@@rp@AzZ?fgB?ji@HxGXdQCLCb@@nA@`IGzHGzGCdEKAMAeDDaHLaIFsFHaB@qA?GEEAoCEkBC?PJlF?pNBtXAnCMf@AlA@lRB~NF|O?xN@vNBpm@@jMAjF?xCoAA",""
"2003 Honda Civic","323 South Ironwood Street, Gilbert, AZ 85296, USA","2015-01-27 11:00 AM","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-01-27 11:24 AM","15.59","24.21","0.81","35.05","0.45","0","0","0","0","0","33.34408","-111.78147","5","33.29675","-111.59417","10","epojEzjgiTbChAa@pA[vAGv@?bA@fE?rCInCCz@?vAJzCRpBRrADbAA|CrHFpFDjEBHLHBlD@`DFx@FjBHfKFCoQQiGCqHAaPKof@AoZK}q@AyLAuSEoUG_tAEqS@gICuDCwQCaEGk@?cC?eDAyO?uO?aBKiFhBBlCBD?JGhB?~GIzIGFBdHHjBE`C@dB@z@D@a@EkAQmCu@oK]kGWcJE_@GO]yQEaFAeMAgY@gu@?edA?eh@?icACsEOwFQoDLiNa@_Iy@uHaAwGeB_Mi@aEKcBAk@@mAJ{BNqBVyAf@uB~@}BbAkBhAyAfCwB~CyBjEkClMiIpDmClBaB~A_BvA}AzIgLvLsOl@}@l@mAn@iBf@{BLsBjDBpDExBOpQIpYS`b@W~q@c@vCCCW@{FZuaBPqt@A[Jw[ByLFgY@wKyD@wO?Is@OUKIoE?",""
"2003 Honda Civic","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-01-26 10:15 PM","323 South Ironwood Street, Gilbert, AZ 85296, USA","2015-01-26 10:38 PM","15.61","22.55","0.75","37.63","0.42","0","0","0","0","0","33.29675","-111.59417","5","33.34408","-111.78147","5","sgfjE``chTnE?JHNTHr@vO?xDABgFCaLKWSOe@EyGEqPDfLC`K@~@BRHNPFb@Khn@G`ZIzY@ZQhv@[zdBA|AaVLmUNqUL_[Rwf@XwMEmJFQl@eBtMa@`Ca@pAm@jAkGdLuDnF{B`CcCvBoDjCmC~AmC~AkAlA_Av@mBrAqBjAqE~BmCnAgC`AgCz@aBl@eAf@y@p@m@p@u@jAq@vA_@pAW~AO~AAdBDnBNtANl@~@~ChDjJjCbI|A~G|@dFrAlJdArJl@vDDxAFlD?ls@@rp@AzZ?fgB?ji@HxGXdQCLCb@@nA@`IGzHGzGCdEKAMAeDDaHLaIFsFHaB@qA?GEEAoCEkBC?PJlF?pNBtXAnCMf@AlA@lRB~NF|O?xN@vNBpm@@jMAjF@jKB~JBpUFjl@Dn[FvVFti@HbHHrBDzO?dA_B?mGEoBKeAGg@CuBAcDAGBIHcCCeBAuCAaEEoDC?mB@{@A]_@uCU{D?sCJyDA{I?cAFw@ZwA`@qAcCiA",""
"2003 Honda Civic","380 East Mesquite Street, Gilbert, AZ 85296, USA","2015-01-26 11:00 AM","6550 South Mountain Road, Mesa, AZ 85212, USA","2015-01-26 11:23 AM","15.50","23.31","0.78","35.99","0.42","1","0","35","0","0","33.34454","-111.78196","10","33.29675","-111.59417","5","cqojE|lgiTe@bBM`ACj@@fHA\e@fCtBl@VDj@@MbDF|CPzBPpAN`BAz@?lBnDB`EDtC@dB@bCBFHBDD?bDBrDHnCNhCBpFBZ??a@CcNAoBMwDEkHEoc@EqRAyNEa`@Iwb@Cye@EkWCuy@CoT?}ICmOCcRCgGImA?qKAmZ?wDKmFxFFFAFEpA?`BAzDG|EEvCADBD@`HF`ACpB?nB?jBF@iAS{Cy@_LWkEW_IG_CEOEII}DQaKEiCCsIAk`@@yhB?a[?}s@?{b@AgMGoEQuEIuAJcIAcF]aGy@uH}BaPgAeISgBEyABsBXgEd@kCj@gBhAiCnAoBhAkA~AqA~CyBjEkCpGeEzDcCxAgAvAeAlBaBvD}DfIsLfJaMfDwFhAgDr@kCjDBpDExBOpQIrROp\SpUOzg@[vCCCW@{FZuaBPqt@A[Jw[Jag@D_SCaLKWSOe@EyGEeJBdJCxGDd@DRNJVB`LCfFyD@wO?Is@OUKIoE?",""
